id,place_id,bank_name,branch_name,location,language,sentiment,topic,review_text,rating,review_date,bank_id,branch_id,location_id,sentiment_id
1,ChIJ61uS-ndspw0ReWqrbwuz_Ic,Bank of Morocco,Bank of Morocco,"277 Av. Mohammed V, Rabat 10000, Morocco",en,Positive,"a, of, very",a small museum with a good collection of coins from different times and some art pieces,5.0,2019-12-19 15:56:42,4,4,7,3
2,ChIJ61uS-ndspw0ReWqrbwuz_Ic,Bank of Morocco,Bank of Morocco,"277 Av. Mohammed V, Rabat 10000, Morocco",en,Positive,"a, of, very",a small museum with a good collection of coins from different times and some art pieces,5.0,2019-12-28 20:26:19,4,4,7,3
3,ChIJ61uS-ndspw0ReWqrbwuz_Ic,Bank of Morocco,Bank of Morocco,"277 Av. Mohammed V, Rabat 10000, Morocco",en,Positive,"a, of, very",a small museum with a good collection of coins from different times and some art pieces,5.0,2025-03-20 21:31:03,4,4,7,3
4,ChIJ61uS-ndspw0ReWqrbwuz_Ic,Bank of Morocco,Bank of Morocco,"277 Av. Mohammed V, Rabat 10000, Morocco",en,Positive,"a, of, very",a small museum with a good collection of coins from different times and some art pieces,5.0,2018-12-18 09:43:17,4,4,7,3
5,ChIJ61uS-ndspw0ReWqrbwuz_Ic,Bank of Morocco,Bank of Morocco,"277 Av. Mohammed V, Rabat 10000, Morocco",en,Positive,"a, of, very",a small museum with a good collection of coins from different times and some art pieces,5.0,2018-10-15 21:17:42,4,4,7,3
6,ChIJZ8oonmLNpw0RBZrkBkfJw0E,Arab Bank Plc,Arab Bank Plc,"174 Bd Mohammed V, Casablanca 20250, Morocco",tl,Neutral,"nan, service, answer",nan,5.0,2022-10-27 13:33:25,2,2,3,2
7,ChIJZ8oonmLNpw0RBZrkBkfJw0E,Arab Bank Plc,Arab Bank Plc,"174 Bd Mohammed V, Casablanca 20250, Morocco",tl,Neutral,"nan, service, answer",nan,5.0,2024-09-30 11:04:30,2,2,3,2
8,ChIJZ8oonmLNpw0RBZrkBkfJw0E,Arab Bank Plc,Arab Bank Plc,"174 Bd Mohammed V, Casablanca 20250, Morocco",tl,Neutral,"nan, service, answer",nan,5.0,2022-03-22 13:01:16,2,2,3,2
9,ChIJZ8oonmLNpw0RBZrkBkfJw0E,Arab Bank Plc,Arab Bank Plc,"174 Bd Mohammed V, Casablanca 20250, Morocco",tl,Neutral,"nan, service, answer",nan,5.0,2017-08-31 08:37:42,2,2,3,2
10,ChIJy7sdSZDurw0R6M0-gByDk68,Bank,Bank,"JXGW+H8P, Rue Ibn el Khattib, Marrakech 40000, Morocco",tl,Neutral,"nan, service, answer",nan,5.0,2023-08-09 19:41:53,3,3,16,2
11,ChIJy7sdSZDurw0R6M0-gByDk68,Bank,Bank,"JXGW+H8P, Rue Ibn el Khattib, Marrakech 40000, Morocco",tl,Neutral,"nan, service, answer",nan,5.0,2023-05-31 02:53:21,3,3,16,2
12,ChIJi_D_kGPNpw0Rj1pEMs1m1S8,Mobilize Financial Services Maroc,Mobilize Financial Services Maroc,"44 Av. Khaled Ibnou Al Oualid, Casablanca 20250, Morocco",sk,Neutral,"to, the, and",bravo,5.0,2021-11-11 12:21:26,17,17,8,2
13,ChIJi_D_kGPNpw0Rj1pEMs1m1S8,Mobilize Financial Services Maroc,Mobilize Financial Services Maroc,"44 Av. Khaled Ibnou Al Oualid, Casablanca 20250, Morocco",sk,Neutral,"to, the, and",bravo,5.0,2023-03-31 19:08:17,17,17,8,2
14,ChIJi_D_kGPNpw0Rj1pEMs1m1S8,Mobilize Financial Services Maroc,Mobilize Financial Services Maroc,"44 Av. Khaled Ibnou Al Oualid, Casablanca 20250, Morocco",sk,Neutral,"to, the, and",bravo,5.0,2023-09-12 13:15:28,17,17,8,2
15,ChIJi_D_kGPNpw0Rj1pEMs1m1S8,Mobilize Financial Services Maroc,Mobilize Financial Services Maroc,"44 Av. Khaled Ibnou Al Oualid, Casablanca 20250, Morocco",sk,Neutral,"to, the, and",bravo,5.0,2024-08-27 18:19:39,17,17,8,2
16,ChIJi_D_kGPNpw0Rj1pEMs1m1S8,Mobilize Financial Services Maroc,Mobilize Financial Services Maroc,"44 Av. Khaled Ibnou Al Oualid, Casablanca 20250, Morocco",sk,Neutral,"to, the, and",bravo,5.0,2025-01-22 14:57:00,17,17,8,2
17,ChIJGaSZf67Npw0RFYrFhmuvpOg,وكالة مصرف المغرب,وكالة مصرف المغرب,"HCR4+4RC, Casablanca 20310, Morocco",tl,Neutral,"nan, service, answer",nan,1.0,2021-03-08 19:52:43,19,19,14,2
18,ChIJGaSZf67Npw0RFYrFhmuvpOg,وكالة مصرف المغرب,وكالة مصرف المغرب,"HCR4+4RC, Casablanca 20310, Morocco",tl,Neutral,"nan, service, answer",nan,1.0,2020-10-22 15:27:28,19,19,14,2
19,ChIJV5mM3-zSpw0RYvH5FV2-v1U,Caixa Casablanca,Caixa Casablanca,"179 Bd d'Anfa, Casablanca 20100, Morocco",tl,Neutral,"nan, service, answer",nan,5.0,2017-11-22 13:03:34,8,8,4,2
20,ChIJV5mM3-zSpw0RYvH5FV2-v1U,Caixa Casablanca,Caixa Casablanca,"179 Bd d'Anfa, Casablanca 20100, Morocco",tl,Neutral,"nan, service, answer",nan,5.0,2024-08-02 13:42:58,8,8,4,2
21,ChIJV5mM3-zSpw0RYvH5FV2-v1U,Caixa Casablanca,Caixa Casablanca,"179 Bd d'Anfa, Casablanca 20100, Morocco",tl,Neutral,"nan, service, answer",nan,5.0,2024-03-10 13:41:41,8,8,4,2
