id,place_id,bank_name,branch_name,location,language,sentiment,topic,review_text,rating,review_date
13287,ChIJlS7nLjTprw0RIL-h9FLlwfc,Agence Banque Populaire - البنك الشعبي,Agence Banque Populaire - البنك الشعبي Branch,"JWCX+Q9P, Marrakesh 40150, Morocco",en,Positive,"bank, good, agency",banque populaire almazaar agdal marrakech shopping center opposite intersection greeted two girls hello frozen smartphone ask change money told without proof identity cannot ok understand kindly ask photo identity document cell phone possible answer ask question haughtily asks colleague tell colleague leave goodbye nothing felt despised offended time really two girls agreeing despise better whole scene without girls left smartphone note carefully thanks two people never open account chaabi bank girls one showcases present like hierarchy regular training therefore makes think bank neglects entrusted money,1.0,2023-08-08 12:16:26
16708,ChIJe_h-_ZNKmA0R-88Wim1flrA,الرشيدية البنك الشعبي,الرشيدية البنك الشعبي Branch,"WHMG+5GM, N13, Ksar es Souk, Morocco",en,Positive,"service, agency, bad",customer service bank respect customers waiting period okay advise anyone open account branch particular crowding biggest problem poor staff management,1.0,2024-01-07 18:05:35
6131,ChIJN9nVjGzNpw0RHoJFo3nRX5w,Banque Populaire,Banque Populaire Branch,"Angle Rue Planquette Et Sergent Portelli Casablanca, HCV5+46V, Assoukhour Assawda 20303, Morocco",en,Positive,"nan, ’, phone",agency years adopted new logo “never answer calls customers”,1.0,2022-10-20 13:39:34
6132,ChIJN9nVjGzNpw0RHoJFo3nRX5w,Banque Populaire,Banque Populaire Branch,"Angle Rue Planquette Et Sergent Portelli Casablanca, HCV5+46V, Assoukhour Assawda 20303, Morocco",fr,Negative,"service, agency, bad",poor expensive service avoided,1.0,2018-02-05 16:07:10
11870,ChIJjYno-EfIsw0RwX-E0QY2pXk,Banque Populaire,Banque Populaire Branch,"Résidence Al Khawarizmi 2, Agadir 80000, Morocco",en,Negative,"nan, ’, phone",came india vacation made withdrawal via atm credit card india bank 1500 dhs 17000 indian rupees machine displayed transaction rejected canceled 17000 rupees withdrawn indian account unfortunate scammed would like response bank night traveled thank bank write us,1.0,2023-12-22 06:40:10
11133,ChIJtec7e0I7pg0RGtyDOLGh8Kg,CIH BANK,CIH BANK Branch,"N9 Lotissement Chabab Tranche 1, Lot 103, Deroua 43275, Morocco",nl,Negative,"service, agency, bad",worse service ever seen 😑😡😡,1.0,2023-12-19 12:19:52
13756,ChIJPcR_KHyACw0RE9phqTeTthw,Banque Populaire,Banque Populaire Branch,"Q6CJ+HC5, Route de, Tanger, Morocco",tl,Neutral,"nan, ’, phone",nan,5.0,2021-03-09 15:10:21
13757,ChIJPcR_KHyACw0RE9phqTeTthw,Banque Populaire,Banque Populaire Branch,"Q6CJ+HC5, Route de, Tanger, Morocco",tl,Neutral,"nan, ’, phone",nan,5.0,2020-12-08 21:25:31
13758,ChIJPcR_KHyACw0RE9phqTeTthw,Banque Populaire,Banque Populaire Branch,"Q6CJ+HC5, Route de, Tanger, Morocco",tl,Neutral,"nan, ’, phone",nan,5.0,2020-07-11 08:04:10
13759,ChIJpRkqcGiHCw0R9tFc-dzRHTU,Crédit Agricole,Crédit Agricole Branch,"Q567+V4X, Tangier, Morocco",en,Neutral,"nan, ’, phone",service null agents profession 7it age bancaire bzaf 3lihom,1.0,2023-07-13 11:09:34
13760,ChIJpRkqcGiHCw0R9tFc-dzRHTU,Crédit Agricole,Crédit Agricole Branch,"Q567+V4X, Tangier, Morocco",en,Negative,"service, agency, bad",customer service bad answer phone always give excuses branch 3 years never treated well,1.0,2020-03-18 12:14:16
13761,ChIJpRkqcGiHCw0R9tFc-dzRHTU,Crédit Agricole,Crédit Agricole Branch,"Q567+V4X, Tangier, Morocco",en,Neutral,"service, agency, bad",want problems types recommend agency,1.0,2022-10-25 16:33:27
13762,ChIJpRkqcGiHCw0R9tFc-dzRHTU,Crédit Agricole,Crédit Agricole Branch,"Q567+V4X, Tangier, Morocco",en,Positive,"service, agency, bad",customer service banker professionally immature ashamed,1.0,2018-05-09 16:26:59
13763,ChIJpRkqcGiHCw0R9tFc-dzRHTU,Crédit Agricole,Crédit Agricole Branch,"Q567+V4X, Tangier, Morocco",en,Negative,"service, agency, bad",bad service,1.0,2019-08-02 11:52:10
