[2025-05-05T22:03:26.897+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-05-05T22:03:26.930+0000] {taskinstance.py:2614} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: google_maps_reviews.fetch_google_reviews scheduled__2025-05-04T00:00:00+00:00 [queued]>
[2025-05-05T22:03:26.951+0000] {taskinstance.py:2614} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: google_maps_reviews.fetch_google_reviews scheduled__2025-05-04T00:00:00+00:00 [queued]>
[2025-05-05T22:03:26.962+0000] {taskinstance.py:2867} INFO - Starting attempt 5 of 6
[2025-05-05T22:03:26.994+0000] {taskinstance.py:2890} INFO - Executing <Task(PythonOperator): fetch_google_reviews> on 2025-05-04 00:00:00+00:00
[2025-05-05T22:03:27.014+0000] {warnings.py:112} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70: DeprecationWarning: This process (pid=1913) is multi-threaded, use of fork() may lead to deadlocks in the child.
  pid = os.fork()

[2025-05-05T22:03:27.018+0000] {standard_task_runner.py:72} INFO - Started process 1928 to run task
[2025-05-05T22:03:27.021+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'google_maps_reviews', 'fetch_google_reviews', 'scheduled__2025-05-04T00:00:00+00:00', '--job-id', '529', '--raw', '--subdir', 'DAGS_FOLDER/***dag.py', '--cfg-path', '/tmp/tmpowasboll']
[2025-05-05T22:03:27.023+0000] {standard_task_runner.py:105} INFO - Job 529: Subtask fetch_google_reviews
[2025-05-05T22:03:27.116+0000] {task_command.py:467} INFO - Running <TaskInstance: google_maps_reviews.fetch_google_reviews scheduled__2025-05-04T00:00:00+00:00 [running]> on host 8280c28b7f0f
[2025-05-05T22:03:27.319+0000] {taskinstance.py:3134} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='google_maps_reviews' AIRFLOW_CTX_TASK_ID='fetch_google_reviews' AIRFLOW_CTX_EXECUTION_DATE='2025-05-04T00:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='5' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-05-04T00:00:00+00:00'
[2025-05-05T22:03:27.323+0000] {logging_mixin.py:190} INFO - Task instance is in running state
[2025-05-05T22:03:27.325+0000] {logging_mixin.py:190} INFO -  Previous state of the Task instance: queued
[2025-05-05T22:03:27.326+0000] {logging_mixin.py:190} INFO - Current task name:fetch_google_reviews state:running start_date:2025-05-05 22:03:26.931442+00:00
[2025-05-05T22:03:27.327+0000] {logging_mixin.py:190} INFO - Dag name:google_maps_reviews and current dag run status:running
[2025-05-05T22:03:27.328+0000] {taskinstance.py:732} INFO - ::endgroup::
[2025-05-05T22:03:27.331+0000] {logging_mixin.py:190} INFO - Searching at point 1/2562: (27.5, -13.0)
[2025-05-05T22:03:35.515+0000] {logging_mixin.py:190} INFO - Searching at point 2/2562: (27.5, -12.8)
[2025-05-05T22:03:37.336+0000] {logging_mixin.py:190} INFO - Searching at point 3/2562: (27.5, -12.6)
[2025-05-05T22:03:39.177+0000] {logging_mixin.py:190} INFO - Searching at point 4/2562: (27.5, -12.4)
[2025-05-05T22:03:41.025+0000] {logging_mixin.py:190} INFO - Searching at point 5/2562: (27.5, -12.2)
[2025-05-05T22:03:42.865+0000] {logging_mixin.py:190} INFO - Searching at point 6/2562: (27.5, -12.0)
[2025-05-05T22:03:44.713+0000] {logging_mixin.py:190} INFO - Searching at point 7/2562: (27.5, -11.8)
[2025-05-05T22:03:46.451+0000] {logging_mixin.py:190} INFO - Searching at point 8/2562: (27.5, -11.6)
[2025-05-05T22:03:48.292+0000] {logging_mixin.py:190} INFO - Searching at point 9/2562: (27.5, -11.4)
[2025-05-05T22:03:50.055+0000] {logging_mixin.py:190} INFO - Searching at point 10/2562: (27.5, -11.2)
[2025-05-05T22:03:51.879+0000] {logging_mixin.py:190} INFO - Searching at point 11/2562: (27.5, -11.0)
[2025-05-05T22:03:53.716+0000] {logging_mixin.py:190} INFO - Searching at point 12/2562: (27.5, -10.8)
[2025-05-05T22:03:55.561+0000] {logging_mixin.py:190} INFO - Searching at point 13/2562: (27.5, -10.6)
[2025-05-05T22:03:57.405+0000] {logging_mixin.py:190} INFO - Searching at point 14/2562: (27.5, -10.4)
[2025-05-05T22:03:59.180+0000] {logging_mixin.py:190} INFO - Searching at point 15/2562: (27.5, -10.2)
[2025-05-05T22:04:00.994+0000] {logging_mixin.py:190} INFO - Searching at point 16/2562: (27.5, -10.0)
[2025-05-05T22:04:02.832+0000] {logging_mixin.py:190} INFO - Searching at point 17/2562: (27.5, -9.8)
[2025-05-05T22:04:04.677+0000] {logging_mixin.py:190} INFO - Searching at point 18/2562: (27.5, -9.6)
[2025-05-05T22:04:06.519+0000] {logging_mixin.py:190} INFO - Searching at point 19/2562: (27.5, -9.4)
